source_unit_id,chunk,final_state,blockers,coverage_cell
icao9432-extracted::distress_urgency_intro_9_1_en::bf04647e26f9c018,chunk_08_distress_urgency_comms_failure,model-gap + phraseology-later,PHRASE-1;EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1; PHRASE-1
icao9432-extracted::distress_urgency_intro_9_1_en::c30159856a1a5e7a,chunk_08_distress_urgency_comms_failure,model-gap,EMERGENCY-1,Icao9432ModelGapSourceUnitSpecTest; EMERGENCY-1
icao9432-extracted::distress_urgency_intro_9_1_en::c959f0325390e7fe,chunk_08_distress_urgency_comms_failure,covered-green structured urgency-classification branch,,Icao9432EmergencyClassificationPayloadSourceBackedTest
icao9432-extracted::distress_urgency_intro_9_1_en::cb12c2f9b97c64b7,chunk_08_distress_urgency_comms_failure,covered-green configured emergency initial-frequency policy branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::distress_urgency_intro_9_1_en::d742970b22d8de26,chunk_08_distress_urgency_comms_failure,split: protocol emergency-type discriminator mapping covered-green; rendered spoken-word identification phraseology-later,PHRASE-1,Icao9432EmergencyClassificationPayloadSourceBackedTest; PHRASE-1
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::082f9668292ed82c,chunk_08_distress_urgency_comms_failure,covered-green structured emergency-descent safeguarding projection branch,,Icao9432EmergencyDescentSourceBackedTest
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::1de475a788206cc8,chunk_08_distress_urgency_comms_failure,covered-green configured urgency-message payload policy branch,OperationalGuidancePolicy,Icao9432EmergencyMessagePolicySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::5df94af7a64c3f5d,chunk_08_distress_urgency_comms_failure,covered-green configured urgency interference-suppression branch,OperationalGuidancePolicy,Icao9432EmergencyAssistanceRelaySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::b95d7bb1cb409bca,chunk_08_distress_urgency_comms_failure,covered-green configured urgency addressing and frequency policy branch,OperationalGuidancePolicy,Icao9432EmergencyMessagePolicySourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::c71568b00fb1535e,chunk_08_distress_urgency_comms_failure,split: structured emergency-descent warning projection branch covered-green; specific-instruction necessity policy remains model-gap + policy-blocked,OperationalGuidancePolicy,Icao9432EmergencyDescentSourceBackedTest; OperationalGuidancePolicy
icao9432-extracted::urgency_emergency_descent_9_3_to_9_4_en::ca0c243491ff5d13,chunk_08_distress_urgency_comms_failure,covered-green structured emergency-descent position-question branch,,Icao9432EmergencyDescentSourceBackedTest
